H0,H1,H0_Depth,H1_Depth,H0_Score,H1_Score,Winner     weights = 10,1,2,4
2,3,6,4,29,19,H2
2,3,6,6,25,23,H2
2,3,6,8,22,26,H3
2,3,8,2,39,9,H2
2,3,8,4,30,18,H2
2,3,8,6,27,21,H2
2,3,8,8,33,15,H2
2,4,2,2,24,24,DRAW
2,4,2,4,25,23,H2
2,4,2,6,25,23,H2
2,4,2,8,17,31,H4
2,4,4,2,25,23,H2
2,4,4,4,19,29,H4
2,4,4,6,21,27,H4
2,4,4,8,26,22,H2
2,4,6,2,30,18,H2
2,4,6,4,29,19,H2
2,4,6,6,21,27,H4
2,4,6,8,19,29,H4
2,4,8,2,35,13,H2
2,4,8,4,33,15,H2
2,4,8,6,30,18,H2
2,4,8,8,25,23,H2
3,1,2,2,31,17,H3
3,1,2,4,21,27,H1
3,1,2,6,12,36,H1
3,1,2,8,26,22,H3
3,1,4,2,29,19,H3
3,1,4,4,23,25,H1
3,1,4,6,22,26,H1
3,1,4,8,24,24,DRAW
3,1,6,2,29,19,H3
3,1,6,4,26,22,H3
3,1,6,6,25,23,H3
3,1,6,8,15,33,H1
3,1,8,2,34,14,H3
3,1,8,4,38,10,H3
3,1,8,6,30,18,H3
3,1,8,8,26,22,H3
3,2,2,2,26,22,H3
3,2,2,4,26,22,H3
3,2,2,6,17,31,H2
3,2,2,8,25,23,H3
3,2,4,2,34,14,H3
3,2,4,4,21,27,H2
3,2,4,6,20,28,H2
3,2,4,8,24,24,DRAW
3,2,6,2,25,23,H3
3,2,6,4,29,19,H3
3,2,6,6,32,16,H3
3,2,6,8,22,26,H2
3,2,8,2,34,14,H3
3,2,8,4,30,18,H3
3,2,8,6,30,18,H3
3,2,8,8,25,23,H3
3,4,2,2,28,20,H3
3,4,2,4,24,24,DRAW
3,4,2,6,22,26,H4
3,4,2,8,17,31,H4
3,4,4,2,25,23,H3
3,4,4,4,19,29,H4
3,4,4,6,21,27,H4
3,4,4,8,26,22,H3
3,4,6,2,30,18,H3
3,4,6,4,28,20,H3
3,4,6,6,21,27,H4
3,4,6,8,19,29,H4
3,4,8,2,35,13,H3
3,4,8,4,32,16,H3
3,4,8,6,28,20,H3
3,4,8,8,25,23,H3
4,1,2,2,33,15,H4
4,1,2,4,21,27,H1
4,1,2,6,26,22,H4
4,1,2,8,26,22,H4
4,1,4,2,23,25,H1
4,1,4,4,22,26,H1
4,1,4,6,15,33,H1
4,1,4,8,17,31,H1
4,1,6,2,33,15,H4
4,1,6,4,28,20,H4
4,1,6,6,30,18,H4
4,1,6,8,34,14,H4
4,1,8,2,31,17,H4
4,1,8,4,26,22,H4
4,1,8,6,30,18,H4
4,1,8,8,33,15,H4
4,2,2,2,22,26,H2
4,2,2,4,25,23,H4
4,2,2,6,39,9,H4
4,2,2,8,39,9,H4
4,2,4,2,19,29,H2
4,2,4,4,16,32,H2
4,2,4,6,24,24,DRAW
4,2,4,8,20,28,H2
4,2,6,2,33,15,H4
4,2,6,4,31,17,H4
4,2,6,6,29,19,H4
4,2,6,8,24,24,DRAW
4,2,8,2,31,17,H4
4,2,8,4,26,22,H4
4,2,8,6,28,20,H4
4,2,8,8,30,18,H4
4,3,2,2,29,19,H4
4,3,2,4,23,25,H3
4,3,2,6,39,9,H4
4,3,2,8,24,24,DRAW
4,3,4,2,30,18,H4
4,3,4,4,20,28,H3
4,3,4,6,19,29,H3
4,3,4,8,20,28,H3
4,3,6,2,33,15,H4
4,3,6,4,31,17,H4
4,3,6,6,29,19,H4
4,3,6,8,24,24,DRAW
4,3,8,2,31,17,H4
4,3,8,4,26,22,H4
4,3,8,6,28,20,H4
4,3,8,8,25,23,H4
